rowId,flowStint,gameId,stint,competitionId,updated,teamId,teamMarket,teamName,conferenceId,divisionId,isExhib,inDivision,lineupId,periodNumber,gameFlowPeriod,sStart,sEnd,cStart,cEnd,secs,ptsScored,ptsAgst,netPts,fgm,fga,fgm2,fga2,fgm3,fga3,ftm,fta,ast,stl,tov,drb,orb,fgmAgst,fgaAgst,fgm2Agst,fga2Agst,fgm3Agst,fga3Agst,ftaAgst,astAgst,tovAgst,stlAgst,drbAgst,orbAgst,cDiff,reb,rebAgst,fg2Pct,fg3Pct,ftPct,oPoss,dPoss,avgPoss,oppp,dppp,netppp,isQualified
2174199-105159-22,22,2174199,24,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321306-1705204-1705205-979669-1895174,4,4,1921.0,1989.0,07:59,06:51,68.0,3,5,-2,1,1,0,0,1,1,0,0,0,0,0,0,0,2,3,2,3,0,0,4,2,0,0,0,3,01:08,0,3,,1.0,,1.0,3.5299999999999994,2.265,3.0,1.4164,1.5836,false
2174199-105159-23,23,2174199,25,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321306-1705206-1705204-1705205-958445,4,4,1989.0,2083.0,06:51,05:17,94.0,5,2,3,2,2,1,1,1,1,0,0,1,0,1,1,0,1,3,1,2,0,1,0,0,0,1,0,1,01:34,1,1,1.0,1.0,,3.0,1.93,2.465,1.6667,1.0363,0.6304,false
2174199-105159-24,24,2174199,26,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321303-1321306-1705204-1705205-958445,4,4,2083.0,2363.0,05:17,00:37,280.0,7,2,5,1,4,1,4,0,0,5,6,0,0,1,6,0,0,7,0,3,0,4,2,0,1,1,3,1,04:40,6,4,0.25,,0.8333,7.4,7.7299999999999995,7.565,0.9459,0.2587,0.6872,true
2174199-105159-25,25,2174199,27,33535,2023-01-08 19:55:33.000000 UTC,105159,Miami (FL),Hurricanes,53,1,false,true,1321306-1705204-1705205-1318079-958445,4,4,2363.0,2400.0,00:37,00:00,37.0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,00:37,2,0,,,1.0,0.8,2.0,1.4,2.5,0.0,2.5,false
2174199-105679-1,1,2174199,3,33535,2023-01-08 19:55:33.000000 UTC,105679,Virginia Tech,Hokies,53,1,false,true,1600839-934108-1310209-939764-1310211,1,1,0.0,105.0,10:00,08:15,105.0,2,0,2,1,2,1,2,0,0,0,0,1,0,1,2,0,0,2,0,1,0,1,0,0,0,0,1,0,01:45,2,1,0.5,,,3.0,2.0,2.5,0.6667,0.0,0.6667,true
2174199-105679-2,2,2174199,4,33535,2023-01-08 19:55:33.000000 UTC,105679,Virginia Tech,Hokies,53,1,false,true,1600839-934108-1310209-965879-1310211,1,1,105.0,267.0,08:15,05:33,162.0,5,10,-5,2,4,1,3,1,1,0,0,2,0,0,0,1,4,4,2,2,2,2,0,1,0,0,1,0,02:42,1,1,0.3333,1.0,,2.9299999999999997,4.0,3.465,1.7065,2.5,-0.7935,true
2174199-105679-3,3,2174199,5,33535,2023-01-08 19:55:33.000000 UTC,105679,Virginia Tech,Hokies,53,1,false,true,1600839-934108-1310214-965879-1310211,1,1,267.0,289.0,05:33,05:11,22.0,2,0,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:22,0,0,1.0,,,1.0,0.0,0.5,2.0,,,false
2174199-105679-4,4,2174199,7,33535,2023-01-08 19:55:33.000000 UTC,105679,Virginia Tech,Hokies,53,1,false,true,1600839-1310209-1310214-939764-965879,1,1,289.0,372.0,05:11,03:48,83.0,3,4,-1,0,0,0,0,0,0,3,3,0,0,1,0,0,2,2,2,2,0,0,0,2,0,0,0,0,01:23,0,0,,,1.0,2.2,2.0,2.1,1.3636,2.0,-0.6364,false
2174199-105679-5,5,2174199,8,33535,2023-01-08 19:55:33.000000 UTC,105679,Virginia Tech,Hokies,53,1,false,true,1600839-1310209-1310214-939764-1310211,1,1,372.0,424.0,03:48,02:56,52.0,4,0,4,1,2,1,1,0,1,2,3,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,00:52,2,0,1.0,0.0,0.6667,2.13,2.0,2.065,1.8779,0.0,1.8779,false
2174199-105679-6,6,2174199,9,33535,2023-01-08 19:55:33.000000 UTC,105679,Virginia Tech,Hokies,53,1,false,true,1600839-934108-1310214-939764-1310211,1,1,424.0,536.0,02:56,01:04,112.0,0,4,-4,0,2,0,1,0,1,0,0,0,0,1,0,0,2,3,2,2,0,1,0,1,0,1,2,0,01:52,0,2,0.0,0.0,,3.0,3.0,3.0,0.0,1.3333,-1.3333,true
2174199-105679-7,7,2174199,10,33535,2023-01-08 19:55:33.000000 UTC,105679,Virginia Tech,Hokies,53,1,false,true,1600839-934108-1310209-965879-1310211,1,1,536.0,600.0,01:04,00:00,64.0,3,0,3,1,1,0,0,1,1,0,0,1,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,01:04,2,0,,1.0,,1.0,2.0,1.5,3.0,0.0,3.0,false
2174199-105679-8,8,2174199,10,33535,2023-01-08 19:55:33.000000 UTC,105679,Virginia Tech,Hokies,53,1,false,true,1600839-934108-1310209-965879-1310211,2,2,600.0,696.0,10:00,08:24,96.0,0,4,-4,0,2,0,2,0,0,0,0,0,0,1,0,0,2,4,2,4,0,0,0,0,0,1,2,2,01:36,0,4,0.0,,,3.0,1.8599999999999999,2.43,0.0,2.1505,-2.1505,false
2174199-105679-9,9,2174199,11,33535,2023-01-08 19:55:33.000000 UTC,105679,Virginia Tech,Hokies,53,1,false,true,1600839-1310209-939764-965879-1310211,2,2,696.0,913.0,08:24,04:47,217.0,7,7,0,3,7,2,4,1,3,0,0,1,0,1,3,1,3,6,3,4,0,2,2,2,0,0,3,0,03:37,4,3,0.5,0.3333,,6.93,6.8,6.865,1.0101,1.0294,-0.0193,true
2174199-105679-10,10,2174199,12,33535,2023-01-08 19:55:33.000000 UTC,105679,Virginia Tech,Hokies,53,1,false,true,1600839-934108-1310209-1310214-939764,2,2,913.0,1023.0,04:47,02:57,110.0,5,2,3,2,2,2,2,0,0,1,1,2,0,0,1,0,1,2,1,1,0,1,0,0,0,0,0,0,01:50,1,0,1.0,,1.0,2.4,2.0,2.2,2.0833,1.0,1.0833,false
