rowId,flowStint,gameId,stint,competitionId,updated,teamId,teamMarket,teamName,conferenceId,divisionId,isExhib,inDivision,lineupId,periodNumber,gameFlowPeriod,sStart,sEnd,cStart,cEnd,secs,ptsScored,ptsAgst,netPts,fgm,fga,fgm2,fga2,fgm3,fga3,ftm,fta,ast,stl,tov,drb,orb,fgmAgst,fgaAgst,fgm2Agst,fga2Agst,fgm3Agst,fga3Agst,ftaAgst,astAgst,tovAgst,stlAgst,drbAgst,orbAgst,cDiff,reb,rebAgst,fg2Pct,fg3Pct,ftPct,oPoss,dPoss,avgPoss,oppp,dppp,netppp,isQualified
2168345-105556-7,7,2168345,9,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1687905-1892478,2,2,703.0,772.0,08:17,07:08,69.0,2,2,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,2,1,2,0,0,0,0,0,1,0,0,01:09,1,0,1.0,,,2.0,2.0,2.0,1.0,1.0,0.0,false
2168345-105556-8,8,2168345,10,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1600149-1892478,2,2,772.0,812.0,07:08,06:28,40.0,2,2,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,00:40,1,0,1.0,,,2.0,1.8,1.9,1.0,1.1111,-0.1111,false
2168345-105556-9,9,2168345,11,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1321482-1892478,2,2,812.0,833.0,06:28,06:07,21.0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,1,00:21,0,1,,,,0.0,0.92999999999999994,0.465,,2.1505,,false
2168345-105556-10,10,2168345,12,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1600147-1321481-1321480-1321482-1892478,2,2,833.0,914.0,06:07,04:46,81.0,2,0,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,01:21,1,0,1.0,,,2.0,2.0,2.0,1.0,0.0,1.0,false
2168345-105556-11,11,2168345,13,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1600147-1321481-1321480-1321477-1321482,2,2,914.0,1011.0,04:46,03:09,97.0,2,7,-5,1,4,1,3,0,1,0,0,0,0,1,0,1,2,4,1,3,1,1,2,1,0,0,2,2,01:37,1,4,0.3333,0.0,,3.9299999999999997,2.6599999999999997,3.295,0.5089,2.6316,-2.1227,true
2168345-105556-12,12,2168345,14,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1687908-1321482,2,2,1011.0,1200.0,03:09,00:00,189.0,6,7,-1,2,4,1,2,1,2,1,3,2,0,1,2,2,3,5,3,5,0,0,2,0,0,1,2,1,03:09,4,3,0.5,0.5,0.3333,5.13,5.086666666666666,5.1083,1.1696,1.3761,-0.2066,true
2168345-105556-13,13,2168345,15,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1687908-1600149,3,3,1200.0,1411.0,10:00,06:29,211.0,10,6,4,4,6,2,4,2,2,0,0,2,0,2,3,1,3,6,3,6,0,0,0,2,1,1,1,0,03:31,4,1,0.5,1.0,,6.93,7.0,6.965,1.443,0.8571,0.5859,true
2168345-105556-14,14,2168345,16,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1600149-1321482,3,3,1411.0,1446.0,06:29,05:54,35.0,0,2,-2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,00:35,0,1,,0.0,,1.0,1.0,1.0,0.0,2.0,-2.0,false
2168345-105556-15,15,2168345,17,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1321477-1321482,3,3,1446.0,1740.0,05:54,01:00,294.0,7,5,2,3,10,2,7,1,3,0,0,1,0,1,4,3,1,5,1,3,0,2,5,0,1,0,4,0,04:54,7,4,0.2857,0.3333,,7.79,8.0,7.895,0.8986,0.625,0.2736,true
2168345-105556-16,16,2168345,18,33535,2022-11-20 22:26:08.000000 UTC,105556,Stanford,Cardinal,74,1,false,true,1892469-1321481-1321480-1687908-1321482,3,3,1740.0,1800.0,01:00,00:00,60.0,2,0,2,1,2,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,01:00,1,1,1.0,0.0,,2.0,1.0,1.5,1.0,0.0,1.0,false
